site_id,people_total,area,population_density
New Taipei City,4008113,,
Taipei City,2524393,,
Taoyuan City,2272391,,
Taichung City,2813490,,
Tainan City,1862059,,
Kaohsiung City,2744691,,
Yilan County,450692,,
Hsinchu County,575580,,
Miaoli County,538178,,
Changhua County,1255330,,
Nantou County,484897,,
Yunlin County,670132,,
Chiayi County,493316,,
Pingtung County,804440,,
Taitung County,213386,,
Hualien County,321358,,
Penghu County,124628,,
Keelung City,363977,,
Hsinchu City,452640,,
Chiayi City,264727,,
Kinmen County,141539,,
Lienchiang County,13645,,
